time,temperature,humidity,pressure,people
2020-07-07 20:25:00+00:00,30.0,38.95,1020.5,1.0
2020-07-07 20:30:00+00:00,30.0,39.1,1020.5,0.0
2020-07-07 20:35:00+00:00,29.95,39.2,1020.5,0.0
2020-07-07 20:40:00+00:00,29.8,39.25,1020.5,1.0
2020-07-07 20:45:00+00:00,29.8,39.25,1020.5,1.0
2020-07-07 20:50:00+00:00,29.75,39.3,1020.5,1.0
2020-07-07 20:55:00+00:00,29.8,39.5,1020.46,1.0
2020-07-07 21:00:00+00:00,30.1,39.4,1021.0,1.0
2020-07-07 21:05:00+00:00,30.0,39.1,1020.5,1.0
2020-07-07 21:10:00+00:00,29.8,39.1,1021.5,1.0
2020-07-07 21:15:00+00:00,29.7,39.3,1021.5,1.0
2020-07-07 21:20:00+00:00,29.5,39.25,1021.5,0.0
2020-07-07 21:25:00+00:00,29.4,39.4,1021.5,0.0
2020-07-07 21:30:00+00:00,29.3,39.45,1021.5,0.0
2020-07-07 21:35:00+00:00,29.2,39.3,1021.5,0.0
2020-07-07 21:40:00+00:00,29.25,39.3,1021.5,1.0
2020-07-07 21:45:00+00:00,29.1,39.3,1021.5,1.0
2020-07-07 21:50:00+00:00,29.0,39.3,1021.5,1.0
2020-07-07 21:55:00+00:00,28.9,39.349999999999994,1021.5,1.0
2020-07-07 22:00:00+00:00,28.8,39.45,1021.5,1.0
2020-07-07 22:05:00+00:00,28.85,39.45,1021.5,1.0
2020-07-07 22:10:00+00:00,28.75,39.6,1021.5,1.0
2020-07-07 22:15:00+00:00,28.7,39.7,1021.5,1.0
2020-07-07 22:20:00+00:00,28.65,39.8,1021.5,1.0
2020-07-07 22:25:00+00:00,28.55,40.0,1021.5,1.0
2020-07-07 22:30:00+00:00,28.55,39.95,1021.5,1.0
2020-07-07 22:35:00+00:00,28.5,39.9,1021.5,1.0
2020-07-07 22:40:00+00:00,28.4,40.0,1021.5,1.0
2020-07-07 22:45:00+00:00,28.4,40.05,1021.5,1.0
2020-07-07 22:50:00+00:00,28.35,40.05,1021.5,1.0
2020-07-07 22:55:00+00:00,28.35,40.1,1021.5,1.0
2020-07-07 23:00:00+00:00,28.2,40.150000000000006,1021.5,1.0
2020-07-07 23:05:00+00:00,28.2,40.2,1021.5,1.0
2020-07-07 23:10:00+00:00,28.1,40.150000000000006,1021.5,1.0
2020-07-07 23:15:00+00:00,28.0,40.150000000000006,1021.5,1.0
2020-07-07 23:20:00+00:00,27.95,40.3,1021.5,1.0
2020-07-07 23:25:00+00:00,27.9,40.4,1021.5,1.0
2020-07-07 23:30:00+00:00,27.85,40.5,1021.5,1.0
2020-07-07 23:35:00+00:00,27.8,40.7,1021.5,1.0
2020-07-07 23:40:00+00:00,27.7,40.8,1021.5,1.0
2020-07-07 23:45:00+00:00,27.6,41.0,1021.5,1.0
2020-07-07 23:50:00+00:00,27.6,40.95,1021.5,1.0
2020-07-07 23:55:00+00:00,27.5,41.0,1021.5,1.0
2020-07-08 00:00:00+00:00,27.4,41.1,1021.5,1.0
2020-07-08 00:05:00+00:00,27.3,41.1,1021.5,1.0
2020-07-08 00:10:00+00:00,27.35,41.25,1021.5,1.0
2020-07-08 00:15:00+00:00,27.35,41.25,1021.5,1.0
2020-07-08 00:20:00+00:00,27.25,41.2,1021.5,1.0
2020-07-08 00:25:00+00:00,27.2,41.3,1021.5,1.0
2020-07-08 00:30:00+00:00,27.1,41.349999999999994,1021.5,1.0
2020-07-08 00:35:00+00:00,27.05,41.5,1021.5,1.0
2020-07-08 00:40:00+00:00,27.0,41.6,1021.5,1.0
2020-07-08 00:45:00+00:00,26.9,41.55,1021.5,1.0
2020-07-08 00:50:00+00:00,26.95,41.6,1021.5,1.0
2020-07-08 00:55:00+00:00,26.8,41.7,1021.5,1.0
2020-07-08 01:00:00+00:00,26.85,41.8,1021.5,1.0
2020-07-08 01:05:00+00:00,26.7,41.9,1021.5,1.0
2020-07-08 01:10:00+00:00,26.75,42.0,1021.5,1.0
2020-07-08 01:15:00+00:00,26.65,42.1,1021.5,1.0
2020-07-08 01:20:00+00:00,26.6,42.150000000000006,1021.5,1.0
2020-07-08 01:25:00+00:00,26.65,42.2,1021.5,1.0
2020-07-08 01:30:00+00:00,26.5,42.2,1021.5,1.0
2020-07-08 01:35:00+00:00,26.55,42.25,1021.5,1.0
2020-07-08 01:40:00+00:00,26.45,42.3,1021.5,1.0
2020-07-08 01:45:00+00:00,26.4,42.349999999999994,1021.5,1.0
2020-07-08 01:50:00+00:00,26.45,42.4,1021.5,1.0
2020-07-08 01:55:00+00:00,26.5,42.849999999999994,1021.5,1.0
2020-07-08 02:00:00+00:00,26.55,43.2,1021.5,1.0
2020-07-08 02:05:00+00:00,26.7,43.4,1021.5,1.0
2020-07-08 02:10:00+00:00,26.8,43.4,1021.5,1.0
2020-07-08 02:15:00+00:00,26.9,43.349999999999994,1021.5,1.0
2020-07-08 02:20:00+00:00,26.9,43.3,1021.5,1.0
2020-07-08 02:25:00+00:00,27.0,43.3,1021.5,1.0
2020-07-08 02:30:00+00:00,27.1,43.25,1021.5,1.0
2020-07-08 02:35:00+00:00,27.1,43.3,1021.5,1.0
2020-07-08 02:40:00+00:00,27.15,43.2,1021.5,1.0
2020-07-08 02:45:00+00:00,27.25,43.1,1021.5,1.0
2020-07-08 02:50:00+00:00,27.25,43.0,1021.5,1.0
2020-07-08 02:55:00+00:00,27.3,43.0,1021.5,1.0
2020-07-08 03:00:00+00:00,27.4,43.2,1021.5,1.0
2020-07-08 03:05:00+00:00,27.4,43.2,1021.5,1.0
2020-07-08 03:10:00+00:00,27.35,43.25,1021.5,1.0
2020-07-08 03:15:00+00:00,27.35,43.3,1021.5,1.0
2020-07-08 03:20:00+00:00,27.45,43.5,1021.5,1.0
2020-07-08 03:25:00+00:00,27.45,43.5,1021.5,1.0
2020-07-08 03:30:00+00:00,27.45,43.4,1021.5,1.0
2020-07-08 03:35:00+00:00,27.45,43.4,1021.5,1.0
2020-07-08 03:40:00+00:00,27.5,43.3,1021.5,1.0
2020-07-08 03:45:00+00:00,27.45,43.1,1021.5,1.0
2020-07-08 03:50:00+00:00,27.45,42.9,1021.5,1.0
2020-07-08 03:55:00+00:00,27.45,42.75,1021.5,1.0
2020-07-08 04:00:00+00:00,27.45,42.6,1021.5,1.0
2020-07-08 04:05:00+00:00,27.45,42.45,1021.5,1.0
2020-07-08 04:10:00+00:00,27.45,42.4,1021.5,1.0
2020-07-08 04:15:00+00:00,27.45,42.3,1021.5,1.0
2020-07-08 04:20:00+00:00,27.45,42.3,1021.5,1.0
2020-07-08 04:25:00+00:00,27.45,42.25,1021.5,1.0
2020-07-08 04:30:00+00:00,27.45,42.25,1021.5,1.0
2020-07-08 04:35:00+00:00,27.45,42.25,1021.5,1.0
2020-07-08 04:40:00+00:00,27.4,42.3,1021.5,1.0
