time,temperature,humidity,pressure,people
2020-07-07 12:40:00+00:00,29.45,45.5,1019.5,0.0
2020-07-07 12:50:00+00:00,29.45,45.3,1019.5,0.0
2020-07-07 13:00:00+00:00,29.5,45.0,1019.5,0.0
2020-07-07 13:10:00+00:00,29.6,44.8,1019.5,0.0
2020-07-07 13:20:00+00:00,29.6,44.8,1019.5,0.0
2020-07-07 13:30:00+00:00,29.7,44.5,1019.5,0.0
2020-07-07 13:40:00+00:00,29.7,44.3,1019.5,0.0
2020-07-07 13:50:00+00:00,29.75,44.05,1019.5,0.0
2020-07-07 14:00:00+00:00,29.9,43.8,1019.5,0.0
2020-07-07 14:10:00+00:00,29.85,43.6,1019.5,0.0
2020-07-07 14:20:00+00:00,30.0,43.6,1019.5,0.0
2020-07-07 14:30:00+00:00,30.7,43.1,1019.375,0.0
2020-07-07 14:40:00+00:00,30.6,42.5,1019.5,0.0
2020-07-07 14:50:00+00:00,30.4,42.5,1019.5600000000001,0.0
2020-07-07 15:00:00+00:00,30.3,42.0,1019.5600000000001,0.0
2020-07-07 15:10:00+00:00,30.4,41.2,1019.5600000000001,0.0
2020-07-07 15:20:00+00:00,30.4,41.1,1019.5600000000001,0.0
2020-07-07 15:30:00+00:00,30.35,40.8,1019.5600000000001,0.0
2020-07-07 15:40:00+00:00,30.5,40.849999999999994,1019.5600000000001,0.0
2020-07-07 15:50:00+00:00,30.45,40.1,1019.5600000000001,0.0
2020-07-07 16:00:00+00:00,30.6,39.4,1019.5600000000001,0.0
2020-07-07 16:10:00+00:00,30.6,38.9,1019.5600000000001,0.0
2020-07-07 16:20:00+00:00,30.55,38.8,1019.5600000000001,0.0
2020-07-07 16:30:00+00:00,30.55,38.5,1019.5600000000001,0.0
2020-07-07 16:40:00+00:00,30.65,37.8,1019.5600000000001,0.0
2020-07-07 16:50:00+00:00,30.65,36.9,1019.5600000000001,0.0
2020-07-07 17:00:00+00:00,30.65,36.7,1019.5600000000001,0.0
2020-07-07 17:10:00+00:00,30.65,36.1,1019.5600000000001,0.0
2020-07-07 17:20:00+00:00,30.65,35.9,1019.5600000000001,0.0
2020-07-07 17:30:00+00:00,30.65,35.8,1019.5600000000001,0.0
2020-07-07 17:40:00+00:00,30.7,35.6,1019.5600000000001,0.0
2020-07-07 17:50:00+00:00,30.65,35.3,1019.5600000000001,0.0
2020-07-07 18:00:00+00:00,30.6,35.2,1019.5600000000001,0.0
2020-07-07 18:10:00+00:00,30.7,35.3,1019.5600000000001,0.0
2020-07-07 18:20:00+00:00,30.65,35.3,1019.5600000000001,0.0
2020-07-07 18:30:00+00:00,30.65,35.6,1019.5600000000001,0.0
2020-07-07 18:40:00+00:00,30.6,35.7,1019.5600000000001,0.0
2020-07-07 18:50:00+00:00,30.7,35.7,1019.5600000000001,0.0
2020-07-07 19:00:00+00:00,30.6,35.8,1019.5600000000001,1.0
2020-07-07 19:10:00+00:00,30.7,36.2,1019.5600000000001,0.0
2020-07-07 19:20:00+00:00,31.0,36.2,1019.6666666666666,1.0
2020-07-07 19:30:00+00:00,31.0,36.4,1019.5,1.0
2020-07-07 19:40:00+00:00,30.8,37.5,1020.5,1.0
2020-07-07 19:50:00+00:00,30.6,38.0,1020.5,1.0
2020-07-07 20:00:00+00:00,30.5,38.3,1020.5,1.0
2020-07-07 20:10:00+00:00,30.3,38.6,1020.5,0.0
2020-07-07 20:20:00+00:00,30.2,38.9,1020.5,1.0
2020-07-07 20:30:00+00:00,30.0,39.0,1020.5,0.0
2020-07-07 20:40:00+00:00,29.9,39.2,1020.5,1.0
2020-07-07 20:50:00+00:00,29.8,39.3,1020.5,1.0
2020-07-07 21:00:00+00:00,29.9,39.5,1020.6111111111112,1.0
2020-07-07 21:10:00+00:00,29.9,39.1,1020.5,1.0
2020-07-07 21:20:00+00:00,29.6,39.3,1021.5,0.0
2020-07-07 21:30:00+00:00,29.4,39.4,1021.5,0.0
2020-07-07 21:40:00+00:00,29.2,39.3,1021.5,1.0
2020-07-07 21:50:00+00:00,29.1,39.3,1021.5,1.0
2020-07-07 22:00:00+00:00,28.9,39.4,1021.5,1.0
2020-07-07 22:10:00+00:00,28.8,39.6,1021.5,1.0
2020-07-07 22:20:00+00:00,28.7,39.7,1021.5,1.0
2020-07-07 22:30:00+00:00,28.55,40.0,1021.5,1.0
2020-07-07 22:40:00+00:00,28.5,39.95,1021.5,1.0
2020-07-07 22:50:00+00:00,28.4,40.05,1021.5,1.0
2020-07-07 23:00:00+00:00,28.3,40.1,1021.5,1.0
2020-07-07 23:10:00+00:00,28.2,40.2,1021.5,1.0
2020-07-07 23:20:00+00:00,28.0,40.2,1021.5,1.0
2020-07-07 23:30:00+00:00,27.9,40.5,1021.5,1.0
2020-07-07 23:40:00+00:00,27.8,40.7,1021.5,1.0
2020-07-07 23:50:00+00:00,27.6,41.0,1021.5,1.0
2020-07-08 00:00:00+00:00,27.5,41.0,1021.5,1.0
2020-07-08 00:10:00+00:00,27.3,41.2,1021.5,1.0
2020-07-08 00:20:00+00:00,27.3,41.2,1021.5,1.0
2020-07-08 00:30:00+00:00,27.2,41.3,1021.5,1.0
2020-07-08 00:40:00+00:00,27.0,41.5,1021.5,1.0
2020-07-08 00:50:00+00:00,26.9,41.6,1021.5,1.0
2020-07-08 01:00:00+00:00,26.8,41.7,1021.5,1.0
2020-07-08 01:10:00+00:00,26.7,41.9,1021.5,1.0
2020-07-08 01:20:00+00:00,26.6,42.1,1021.5,1.0
2020-07-08 01:30:00+00:00,26.6,42.2,1021.5,1.0
2020-07-08 01:40:00+00:00,26.5,42.3,1021.5,1.0
2020-07-08 01:50:00+00:00,26.4,42.4,1021.5,1.0
2020-07-08 02:00:00+00:00,26.5,43.2,1021.5,1.0
2020-07-08 02:10:00+00:00,26.7,43.4,1021.5,1.0
2020-07-08 02:20:00+00:00,26.9,43.3,1021.5,1.0
2020-07-08 02:30:00+00:00,27.0,43.3,1021.5,1.0
2020-07-08 02:40:00+00:00,27.1,43.2,1021.5,1.0
2020-07-08 02:50:00+00:00,27.25,43.1,1021.5,1.0
2020-07-08 03:00:00+00:00,27.3,43.0,1021.5,1.0
2020-07-08 03:10:00+00:00,27.4,43.2,1021.5,1.0
2020-07-08 03:20:00+00:00,27.35,43.3,1021.5,1.0
2020-07-08 03:30:00+00:00,27.45,43.4,1021.5,1.0
2020-07-08 03:40:00+00:00,27.5,43.4,1021.5,1.0
2020-07-08 03:50:00+00:00,27.45,43.0,1021.5,1.0
2020-07-08 04:00:00+00:00,27.45,42.650000000000006,1021.5,1.0
2020-07-08 04:10:00+00:00,27.45,42.4,1021.5,1.0
2020-07-08 04:20:00+00:00,27.45,42.3,1021.5,1.0
2020-07-08 04:30:00+00:00,27.45,42.25,1021.5,1.0
2020-07-08 04:40:00+00:00,27.4,42.3,1021.5,1.0
2020-07-08 04:50:00+00:00,27.45,42.3,1021.5,1.0
2020-07-08 05:00:00+00:00,27.5,42.2,1021.5,0.0
2020-07-08 05:10:00+00:00,27.4,42.2,1021.5,1.0
2020-07-08 05:20:00+00:00,27.4,42.2,1021.5,1.0
2020-07-08 05:30:00+00:00,27.4,42.3,1021.5,1.0
